Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
128,0.007634,0.061069,-0.114504,-0.000488,-0.010986,1.008057,0.00,0.00,0.00
129,-0.038168,-0.045802,0.175573,0.000488,-0.006592,0.984619,0.00,0.00,0.00
130,0.099237,0.015267,0.000000,0.002686,-0.009033,0.998779,0.00,0.00,0.00
131,-0.038168,0.183206,-0.030534,0.002441,-0.010986,0.993652,0.00,0.00,0.00
132,0.175573,-0.030534,0.000000,0.000000,-0.007568,1.000000,0.00,0.00,0.00
133,0.083969,0.045802,-0.137405,0.001709,-0.007812,1.008545,0.00,0.00,0.00
134,-0.137405,0.129771,0.022901,-0.001221,-0.006348,0.990723,0.00,0.00,0.00
135,0.022901,-0.099237,-0.022901,0.001709,-0.002930,1.002441,0.00,0.00,0.00
136,0.038168,0.145038,-0.076336,0.000000,-0.010254,0.996094,0.00,0.00,0.00
137,0.015267,-0.015267,-0.038168,0.006104,-0.007568,0.999268,0.00,0.00,0.00
138,0.152672,0.083969,0.129771,0.002930,-0.010986,1.008789,0.00,0.00,0.00
139,-0.083969,0.045802,0.053435,0.006348,-0.005127,0.983398,0.00,0.00,0.00
140,0.221374,0.007634,0.007634,0.002930,-0.005859,1.007812,0.00,0.00,0.00
141,-0.030534,0.106870,0.030534,0.000000,-0.005371,1.000000,0.00,0.00,0.00
142,-0.091603,-0.061069,-0.076336,0.000488,-0.006592,0.990967,0.00,0.00,0.00
143,0.106870,-0.030534,-0.091603,0.000000,-0.005371,1.001221,0.00,0.00,0.00
144,-0.175573,-0.083969,0.083969,0.005859,-0.007080,0.986816,0.00,0.00,0.00
145,-0.099237,-0.167939,-0.114504,-0.001953,-0.005615,1.000977,0.00,0.00,0.00
146,0.000000,0.053435,0.129771,0.008789,-0.010254,0.999268,0.00,0.00,0.00
147,0.076336,-0.061069,-0.129771,0.009277,-0.003418,0.992432,0.00,0.00,0.00
148,0.038168,0.267176,0.076336,0.000977,-0.011475,1.002197,0.00,0.00,0.00
149,0.091603,-0.045802,-0.167939,-0.001221,-0.008301,0.999756,0.00,0.00,0.00
150,-0.122137,0.091603,-0.053435,-0.002930,-0.006348,1.001465,0.00,0.00,0.00
151,0.122137,0.007634,-0.190840,0.001221,-0.006348,1.001953,0.00,0.00,0.00
152,0.076336,-0.145038,-0.038168,0.000977,-0.007812,1.000000,0.00,0.00,0.00
153,0.099237,0.007634,-0.045802,0.001709,-0.013672,0.998291,0.00,0.00,0.00
154,-0.114504,-0.076336,-0.114504,0.001465,-0.012939,1.002441,0.00,0.00,0.00
155,0.068702,-0.061069,0.053435,-0.000244,-0.009521,1.001953,0.00,0.00,0.00
156,0.076336,0.045802,-0.015267,0.004150,-0.005127,1.002197,0.00,0.00,0.00
157,0.129771,-0.076336,-0.061069,0.000000,-0.008789,1.003418,0.00,0.00,0.00
158,0.152672,-0.091603,-0.007634,0.001465,-0.003906,0.995605,0.00,0.00,0.00
159,0.068702,-0.106870,-0.007634,0.004395,-0.007812,0.988770,0.00,0.00,0.00
160,0.076336,-0.022901,0.099237,0.001465,-0.004639,0.999512,0.00,0.00,0.00
161,0.022901,0.053435,-0.007634,0.003174,-0.007812,0.992676,0.00,0.00,0.00
162,-0.198473,-0.145038,0.030534,0.001953,-0.010986,1.000488,0.00,0.00,0.00
163,0.083969,-0.061069,-0.091603,-0.001221,-0.007812,1.004395,0.00,0.00,0.00
164,-0.061069,0.061069,0.038168,0.008301,-0.014648,0.998047,0.00,0.00,0.00
165,0.022901,0.007634,0.000000,-0.000977,-0.005371,1.002197,0.00,0.00,0.00
166,0.083969,0.221374,-0.030534,-0.003418,-0.008789,0.999023,0.00,0.00,0.00
167,-0.076336,-0.061069,0.053435,0.002686,-0.002930,0.993896,0.00,0.00,0.00
168,-0.053435,-0.053435,0.083969,0.003906,-0.011719,1.004639,0.00,0.00,0.00
169,0.061069,-0.045802,-0.015267,0.001709,-0.012207,0.997803,0.00,0.00,0.00
170,0.015267,-0.160305,-0.061069,-0.000488,-0.011475,0.998291,0.00,0.00,0.00
171,0.038168,0.007634,-0.076336,0.005615,-0.008789,1.000244,0.00,0.00,0.00
172,0.068702,-0.038168,-0.099237,0.002197,-0.007568,1.003418,0.00,0.00,0.00
173,0.000000,-0.053435,-0.015267,0.002930,-0.010254,1.008057,0.00,0.00,0.00
174,-0.160305,0.083969,-0.091603,0.000977,-0.011230,0.991455,0.00,0.00,0.00
175,0.007634,-0.007634,0.061069,0.001709,-0.011230,1.008545,0.00,0.00,0.00
176,-0.053435,0.053435,-0.061069,-0.003906,-0.006836,1.009521,0.00,0.00,0.00
177,-0.091603,0.152672,0.030534,0.007080,-0.001465,1.005371,0.00,0.00,0.00
178,-0.007634,0.045802,-0.213740,-0.002930,-0.008301,1.004150,0.00,0.00,0.00
179,0.038168,0.229008,0.106870,0.003906,-0.010254,0.993164,0.00,0.00,0.00
180,0.000000,-0.030534,0.038168,0.000000,-0.007568,0.994385,0.00,0.00,0.00
181,0.076336,0.114504,-0.061069,0.000488,-0.005127,0.996582,0.00,0.00,0.00
182,-0.167939,-0.022901,-0.091603,0.004883,-0.007080,0.990723,0.00,0.00,0.00
183,0.061069,0.152672,-0.129771,-0.002686,-0.008301,0.999023,0.00,0.00,0.00
184,0.022901,0.022901,0.038168,0.006836,-0.008545,1.004639,0.00,0.00,0.00
185,-0.091603,-0.030534,-0.030534,0.000488,-0.007080,1.000488,0.00,0.00,0.00
186,0.030534,0.152672,-0.038168,0.001221,-0.007080,0.999268,0.00,0.00,0.00
187,-0.083969,-0.061069,0.053435,0.002197,-0.008301,0.997314,0.00,0.00,0.00
188,-0.106870,-0.114504,-0.152672,0.001709,-0.008057,1.007080,0.00,0.00,0.00
189,-0.015267,0.015267,0.022901,0.000488,-0.000244,0.997070,0.00,0.00,0.00
190,-0.053435,-0.022901,-0.068702,-0.002441,-0.005859,1.000488,0.00,0.00,0.00
191,-0.022901,-0.038168,0.061069,0.000488,-0.009766,1.002686,0.00,0.00,0.00
192,0.106870,-0.038168,-0.091603,0.001953,-0.010254,0.989258,0.00,0.00,0.00
193,-0.015267,-0.160305,-0.091603,-0.001709,-0.008057,1.006592,0.00,0.00,0.00
194,0.106870,0.145038,-0.045802,0.005371,-0.008545,1.001221,0.00,0.00,0.00
195,-0.068702,-0.137405,-0.053435,-0.002197,-0.006836,1.000000,0.00,0.00,0.00
196,0.145038,0.061069,-0.175573,0.002930,-0.010986,0.995850,0.00,0.00,0.00
197,0.038168,-0.129771,-0.007634,-0.002441,-0.009521,0.993164,0.00,0.00,0.00
198,0.015267,-0.152672,-0.038168,0.000732,-0.008057,1.005859,0.00,0.00,0.00
199,0.061069,0.083969,-0.175573,-0.002686,-0.003662,0.989990,0.00,0.00,0.00
200,-0.061069,-0.122137,-0.015267,-0.000244,-0.005859,1.005859,0.00,0.00,0.00
201,-0.045802,-0.007634,0.114504,0.008545,-0.010010,1.002197,0.00,0.00,0.00
202,0.114504,-0.137405,-0.083969,0.005615,0.000000,0.993408,0.00,0.00,0.00
203,0.099237,0.022901,-0.106870,-0.000244,-0.011230,1.007080,0.00,0.00,0.00
204,0.038168,-0.038168,-0.160305,0.005371,-0.006836,0.999268,0.00,0.00,0.00
205,0.045802,-0.091603,0.061069,-0.002686,-0.005371,0.997803,0.00,0.00,0.00
206,-0.038168,0.061069,-0.068702,0.003662,-0.004150,0.991699,0.00,0.00,0.00
207,0.129771,-0.083969,-0.083969,0.002197,-0.006348,1.001709,0.00,0.00,0.00
208,-0.061069,-0.213740,-0.137405,-0.000977,-0.008301,0.999756,0.00,0.00,0.00
209,0.160305,-0.083969,0.038168,0.000000,-0.003418,0.992676,0.00,0.00,0.00
210,0.167939,-0.190840,0.015267,0.000977,-0.007568,1.003418,0.00,0.00,0.00
211,-0.083969,0.106870,0.091603,0.001221,-0.009277,1.004883,0.00,0.00,0.00
212,-0.068702,0.007634,-0.206107,-0.000732,-0.010254,1.005859,0.00,0.00,0.00
213,0.183206,-0.206107,-0.022901,-0.004150,-0.009521,1.005859,0.00,0.00,0.00
214,-0.038168,0.122137,-0.145038,0.009766,-0.006836,0.991699,0.00,0.00,0.00
215,-0.061069,-0.091603,-0.030534,-0.004150,-0.008789,1.000488,0.00,0.00,0.00
216,-0.114504,0.106870,-0.175573,0.001465,-0.007812,1.003906,0.00,0.00,0.00
217,0.030534,-0.091603,0.175573,0.000000,-0.009033,0.999512,0.00,0.00,0.00
218,0.114504,0.061069,0.038168,-0.002197,-0.008057,1.004639,0.00,0.00,0.00
219,-0.022901,0.061069,0.030534,0.001953,-0.009277,1.000000,0.00,0.00,0.00
220,-0.030534,-0.007634,-0.053435,0.000000,-0.008789,0.987305,0.00,0.00,0.00
221,0.160305,0.122137,-0.068702,0.001465,-0.006104,1.005371,0.00,0.00,0.00
222,0.038168,0.053435,0.183206,0.000000,-0.007812,0.994873,0.00,0.00,0.00
223,0.022901,-0.030534,0.099237,-0.001953,0.001953,1.005127,0.00,0.00,0.00
224,-0.114504,0.022901,-0.091603,0.004639,-0.009766,1.001709,0.00,0.00,0.00
225,0.007634,-0.175573,0.007634,0.001465,-0.007568,0.998291,0.00,0.00,0.00
226,0.068702,-0.030534,0.114504,-0.003662,-0.010010,1.011475,0.00,0.00,0.00
227,0.137405,0.061069,0.007634,0.003662,-0.003662,0.992676,0.00,0.00,0.00
228,0.282443,0.000000,-0.053435,0.003418,-0.005859,0.990967,0.00,0.00,0.00
229,-0.038168,0.061069,-0.015267,0.003906,-0.013672,1.001221,0.00,0.00,0.00
230,0.152672,-0.015267,-0.015267,-0.001953,-0.007812,0.994629,0.00,0.00,0.00
231,-0.198473,-0.015267,0.099237,0.005859,-0.009033,1.002441,0.00,0.00,0.00
232,-0.145038,-0.068702,-0.076336,0.004883,-0.010986,0.993408,0.00,0.00,0.00
233,0.236641,-0.129771,-0.068702,0.001709,-0.005859,1.003662,0.00,0.00,0.00
234,0.015267,-0.145038,0.129771,0.000000,-0.009277,0.998779,0.00,0.00,0.00
235,-0.145038,0.022901,0.068702,0.005127,-0.008301,0.998047,0.00,0.00,0.00
236,-0.061069,-0.091603,-0.068702,-0.003906,-0.003906,1.000977,0.00,0.00,0.00
237,0.007634,0.114504,0.053435,0.001465,-0.009766,0.988770,0.00,0.00,0.00
238,-0.091603,-0.061069,-0.221374,-0.002197,-0.004395,1.004883,0.00,0.00,0.00
239,0.068702,0.213740,0.160305,0.002686,-0.004639,0.992188,0.00,0.00,0.00
240,0.022901,-0.068702,0.030534,0.002197,-0.010742,0.999512,0.00,0.00,0.00
241,0.190840,-0.030534,-0.175573,-0.005615,-0.003418,1.010742,0.00,0.00,0.00
242,0.022901,0.038168,-0.091603,0.003418,-0.010010,0.997070,0.00,0.00,0.00
243,-0.083969,-0.091603,0.091603,0.003906,-0.005371,0.998047,0.00,0.00,0.00
244,0.045802,-0.007634,0.061069,-0.003906,-0.010010,0.999023,0.00,0.00,0.00
245,0.000000,0.015267,0.053435,0.001465,-0.006104,0.994873,0.00,0.00,0.00
246,0.000000,-0.129771,0.076336,0.003418,-0.006592,1.003906,0.00,0.00,0.00
247,0.007634,0.007634,-0.038168,0.003418,-0.005127,0.994385,0.00,0.00,0.00
248,0.061069,-0.175573,-0.022901,0.000488,-0.008789,1.006836,0.00,0.00,0.00
249,-0.022901,0.053435,0.007634,0.002930,-0.012695,0.998291,0.00,0.00,0.00
250,-0.007634,-0.183206,-0.198473,0.003418,-0.006592,0.991455,0.00,0.00,0.00
251,0.122137,-0.251908,-0.038168,0.003174,-0.008057,1.002930,0.00,0.00,0.00
252,-0.061069,-0.045802,-0.267176,0.007568,-0.008057,0.998779,0.00,0.00,0.00
