Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
219,-11.328244,2.694656,-1.312977,-0.034912,-0.959229,-0.322510,0.00,0.00,0.00
220,-10.419847,2.213740,-0.618321,-0.083496,-0.976562,-0.346191,0.00,0.00,0.00
221,-9.328244,1.335878,-1.450382,-0.058350,-0.958984,-0.353271,0.00,0.00,0.00
222,-5.549618,3.603053,-3.274809,-0.011963,-0.952148,-0.323975,0.00,0.00,0.00
223,-9.641221,2.969466,0.320611,-0.073242,-0.952637,-0.345947,0.00,0.00,0.00
224,-7.923664,1.748092,-0.549618,-0.095459,-0.949219,-0.320557,0.00,0.00,0.00
225,-7.312977,2.625954,-0.625954,-0.069336,-0.937500,-0.332764,0.00,0.00,0.00
226,-7.000000,3.282443,-0.381679,-0.044922,-0.943115,-0.325439,0.00,0.00,0.00
227,-6.458015,5.160305,-1.267176,-0.025146,-0.940674,-0.316406,0.00,0.00,0.00
228,-6.816794,2.251908,0.809160,-0.007812,-0.958496,-0.311035,0.00,0.00,0.00
229,-5.763359,1.877863,0.770992,-0.099854,-0.993896,-0.321289,0.00,0.00,0.00
230,-5.061069,1.290076,-0.870229,-0.087646,-0.976074,-0.310791,0.00,0.00,0.00
231,-5.496183,-0.106870,-0.694656,-0.082275,-0.955322,-0.318115,0.00,0.00,0.00
232,-5.145038,-1.083969,-1.007634,-0.059814,-0.951416,-0.331299,0.00,0.00,0.00
233,-4.916031,-2.534351,-1.022901,-0.037598,-0.944824,-0.325928,0.00,0.00,0.00
234,-4.305344,-3.541985,-0.633588,-0.025391,-0.958008,-0.320312,0.00,0.00,0.00
235,-3.977099,-4.259542,-0.282443,-0.019531,-0.963867,-0.313965,0.00,0.00,0.00
236,-3.328244,-4.419847,0.442748,-0.011230,-0.967285,-0.306885,0.00,0.00,0.00
237,-3.206107,-4.312977,0.793893,-0.020752,-0.975098,-0.297363,0.00,0.00,0.00
238,-3.007634,-3.503817,1.351145,-0.024658,-0.966553,-0.311279,0.00,0.00,0.00
239,-2.931298,-2.778626,1.473282,-0.032471,-0.959229,-0.309326,0.00,0.00,0.00
240,-2.618321,-2.641221,1.641221,-0.033936,-0.959229,-0.311768,0.00,0.00,0.00
241,-2.732824,-3.091603,2.152672,-0.043945,-0.949219,-0.303223,0.00,0.00,0.00
242,-2.000000,-2.923664,2.282443,-0.045898,-0.950195,-0.309570,0.00,0.00,0.00
243,-1.641221,-3.045802,2.450382,-0.033936,-0.960449,-0.320312,0.00,0.00,0.00
244,-1.152672,-4.198473,2.832061,-0.038574,-0.970459,-0.323242,0.00,0.00,0.00
245,-0.946565,-4.877863,3.282443,-0.048828,-0.956543,-0.313721,0.00,0.00,0.00
246,-0.580153,-4.961832,3.824427,-0.040039,-0.950928,-0.305420,0.00,0.00,0.00
247,-0.106870,-4.931298,4.099237,-0.016113,-0.951660,-0.316406,0.00,0.00,0.00
248,-0.091603,-5.755725,4.580153,-0.019531,-0.948486,-0.302979,0.00,0.00,0.00
249,-0.259542,-6.129771,5.083969,-0.030029,-0.953125,-0.297119,0.00,0.00,0.00
250,2.847328,-5.793893,5.656489,-0.022461,-0.973633,-0.270752,0.00,0.00,0.00
251,-0.908397,-4.198473,6.236641,-0.049072,-0.978271,-0.292969,0.00,0.00,0.00
252,-0.038168,-4.984733,6.358779,-0.024902,-0.959473,-0.290283,0.00,0.00,0.00
253,-0.633588,-5.473282,7.022901,-0.045654,-0.957031,-0.286621,0.00,0.00,0.00
254,-0.450382,-4.931298,6.992366,-0.058594,-0.955566,-0.274902,0.00,0.00,0.00
255,-0.709924,-4.931298,6.625954,-0.058350,-0.944092,-0.282471,0.00,0.00,0.00
256,-1.145038,-5.648855,6.793893,-0.068359,-0.940918,-0.301270,0.00,0.00,0.00
257,-1.251908,-5.503817,6.458015,-0.079834,-0.941162,-0.296875,0.00,0.00,0.00
258,-1.274809,-5.931298,6.259542,-0.069336,-0.950684,-0.285645,0.00,0.00,0.00
259,-1.045802,-6.763359,6.022901,-0.084229,-0.951416,-0.286865,0.00,0.00,0.00
260,-0.885496,-6.824427,5.793893,-0.074463,-0.955811,-0.299561,0.00,0.00,0.00
261,-1.000000,-7.030534,5.374046,-0.078857,-0.949219,-0.308594,0.00,0.00,0.00
262,-0.885496,-7.335878,5.473282,-0.073975,-0.947998,-0.303223,0.00,0.00,0.00
263,-0.763359,-7.374046,5.114504,-0.061035,-0.948242,-0.319580,0.00,0.00,0.00
264,-0.671756,-7.893130,5.061069,-0.060059,-0.949219,-0.297363,0.00,0.00,0.00
265,-0.358779,-7.625954,5.129771,-0.063477,-0.959717,-0.306152,0.00,0.00,0.00
266,0.106870,-6.992366,5.045802,-0.058350,-0.960449,-0.302490,0.00,0.00,0.00
267,-0.198473,-7.473282,4.969466,-0.065674,-0.957275,-0.289795,0.00,0.00,0.00
268,-0.358779,-7.519084,5.000000,-0.070312,-0.955078,-0.282227,0.00,0.00,0.00
269,-0.503817,-7.427481,4.702290,-0.074463,-0.949951,-0.277588,0.00,0.00,0.00
270,-0.572519,-7.877863,4.450382,-0.061523,-0.938965,-0.299072,0.00,0.00,0.00
271,-0.572519,-8.412214,4.580153,-0.070801,-0.942383,-0.288574,0.00,0.00,0.00
272,-0.664122,-9.068702,4.519084,-0.077393,-0.947021,-0.292480,0.00,0.00,0.00
273,-0.519084,-9.526718,4.221374,-0.087891,-0.952148,-0.294922,0.00,0.00,0.00
274,-0.427481,-9.854962,3.740458,-0.089600,-0.946289,-0.303467,0.00,0.00,0.00
275,-0.053435,-10.564885,3.480916,-0.096924,-0.949707,-0.305908,0.00,0.00,0.00
