Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
227,0.02290,0.00000,-0.10687,0.08813,-0.07178,0.98218,0.00,0.00,0.00
228,-0.12977,0.21374,-0.08397,0.08765,-0.06616,0.99927,0.00,0.00,0.00
229,-0.10687,0.05344,-0.26718,0.08862,-0.07300,0.98901,0.00,0.00,0.00
230,0.06107,-0.18321,-0.15267,0.08862,-0.07251,0.98657,0.00,0.00,0.00
231,0.06870,-0.02290,-0.15267,0.09131,-0.07227,0.99072,0.00,0.00,0.00
232,-0.30534,0.00763,-0.19847,0.08130,-0.07324,0.99512,0.00,0.00,0.00
233,0.02290,-0.07634,-0.16031,0.08984,-0.07373,0.99292,0.00,0.00,0.00
234,-0.25191,0.02290,-0.16031,0.08862,-0.07471,0.99536,0.00,0.00,0.00
235,-0.02290,-0.00763,-0.07634,0.08984,-0.07227,0.98437,0.00,0.00,0.00
236,-0.06870,0.05344,-0.21374,0.08765,-0.07935,0.99097,0.00,0.00,0.00
237,-0.04580,0.12977,-0.10687,0.09131,-0.07227,0.98535,0.00,0.00,0.00
238,0.22901,0.11450,0.03817,0.09131,-0.07764,0.99023,0.00,0.00,0.00
239,0.09924,0.00763,-0.06107,0.08716,-0.07690,0.99512,0.00,0.00,0.00
240,-0.09160,0.12977,-0.29008,0.09180,-0.07153,0.99438,0.00,0.00,0.00
241,-0.16031,0.22137,-0.06870,0.09229,-0.07202,0.99634,0.00,0.00,0.00
242,-0.01527,0.22901,-0.02290,0.09277,-0.07227,0.98364,0.00,0.00,0.00
243,-0.01527,0.03053,-0.13740,0.08936,-0.07178,0.98608,0.00,0.00,0.00
244,-0.06870,0.02290,-0.15267,0.08789,-0.07397,0.99121,0.00,0.00,0.00
245,0.03053,0.03817,-0.19847,0.09106,-0.07227,0.99438,0.00,0.00,0.00
246,0.17557,0.01527,0.03053,0.09033,-0.06836,1.00171,0.00,0.00,0.00
247,0.12977,-0.03817,-0.18321,0.09351,-0.07373,0.99561,0.00,0.00,0.00
248,0.06107,-0.11450,-0.18321,0.08643,-0.06836,0.98657,0.00,0.00,0.00
249,0.06107,0.03053,-0.06870,0.08789,-0.06958,0.99390,0.00,0.00,0.00
250,-0.00763,0.12977,-0.09160,0.08496,-0.07349,0.98560,0.00,0.00,0.00
251,0.05344,0.06107,-0.22901,0.08813,-0.07056,0.98682,0.00,0.00,0.00
252,-0.03817,0.09924,-0.10687,0.09106,-0.07471,0.99048,0.00,0.00,0.00
253,0.08397,0.05344,-0.08397,0.09155,-0.07422,0.98413,0.00,0.00,0.00
254,0.08397,-0.05344,-0.06107,0.08936,-0.06860,0.98828,0.00,0.00,0.00
255,-0.29008,0.01527,-0.24427,0.09082,-0.07788,0.98486,0.00,0.00,0.00
256,0.06107,0.10687,-0.11450,0.09033,-0.07153,0.99780,0.00,0.00,0.00
257,-0.03817,0.18321,-0.15267,0.08691,-0.07300,0.99487,0.00,0.00,0.00
258,-0.16794,0.12214,-0.20611,0.08716,-0.07397,0.99219,0.00,0.00,0.00
259,0.11450,0.06870,-0.19084,0.09375,-0.07031,0.99219,0.00,0.00,0.00
260,-0.07634,-0.10687,-0.00763,0.08594,-0.07275,0.98828,0.00,0.00,0.00
261,-0.06107,0.19847,-0.18321,0.08984,-0.07153,0.98901,0.00,0.00,0.00
262,0.00763,-0.25954,-0.06107,0.08911,-0.07544,0.98315,0.00,0.00,0.00
263,0.00763,0.06107,-0.25954,0.09180,-0.06982,0.98486,0.00,0.00,0.00
264,0.09924,-0.07634,-0.00763,0.09131,-0.07202,0.99292,0.00,0.00,0.00
265,0.00000,0.00000,-0.11450,0.08813,-0.06665,0.99463,0.00,0.00,0.00
266,-0.11450,0.16031,0.02290,0.09253,-0.07300,0.99756,0.00,0.00,0.00
267,-0.06107,0.15267,-0.28244,0.09180,-0.07764,0.98633,0.00,0.00,0.00
268,0.07634,0.16031,-0.14504,0.09253,-0.07349,0.99072,0.00,0.00,0.00
